id,evento,data,stagione
2,Fc sovescio riceve 3 crediti per la cessione in prestito di El Bilal Toure,2024-08-25,24-25
7,La squadra AC Ciaccati acquista Emerson Royal per 5 crediti,2024-08-14,24-25
8,Scambio ufficiale: Dialo porco riceve Skorupski; ZeroDayz FC riceve 5 crediti,2024-08-15,24-25
11,La squadra Ac ciaccati acquista Richardson per 1 credito,2024-08-16,24-25
12,ZeroDayz FC acquista Ryan ad 1 credito,2024-08-16,24-25
13,Scambio ufficiale: ZeroDayz FC riceve ramadani e busio; sborada riceve payero e 2 crediti,2024-08-16,24-25
14,Ac ciaccati acquista Kalulu per 1 credito,2024-08-17,24-25
19,"ZeroDayz FC riceve in prestito Mazzocchi (E, Napoli) prestito secco annuale con dir. risc. 3 crediti",2024-08-22,24-25
21,La squadra CYBERDUCKS acquista fofana per 12 crediti,2024-08-25,24-25
25,La squadra ac ciaccati acquista Brescianini per 10 crediti,2024-08-26,24-25
27,Fc Sovescio promuove dalla primavera Baldanzi,2024-08-27,24-25
28,La società Ac Ciaccati riceve 8 crediti per la cessione di Gendrey all'Hoffenheim,2024-08-27,24-25
33,Ac ciaccati acquista Conceicao per 3 crediti,2024-08-30,24-25
35,La società ZeroDayz FC riceve 2 crediti per il prestito di Amrabat al fenerbache,2024-08-30,24-25
36,Scambio ufficiale: ZeroDayz FC riceve Altare; Sborada riceve Magnani,2024-08-30,24-25
37,Baby Rejnders riceve 4 crediti per la cessione in prestito di Perez al Porto,2024-08-31,24-25
38,Sborada non riceve alcun credito per la cessione in prestito di Tavsan al Cesena,2024-08-31,24-25
44,Scambio: ac ciaccati riceve Chukwueze; beby rejnders riceve Brescianini,2024-08-31,24-25
47,Ac ciaccati acquistano di Gennaro a 1 credito,2024-08-31,24-25
50,La squadra Ac Ciaccati acquista kone per 18 crediti,2024-09-01,24-25
53,Sborada acquista Maripan per 2 crediti,2024-09-01,24-25
54,La squadra Sborada acquista Saelemekers per 7 crediti,2024-09-01,24-25
55,La società ZeroDayz FC acquista Keita per 1 credito,2024-09-01,24-25
56,La società ZeroDayz FC acquista Sergi Roberto per 1 credito,2024-09-01,24-25
57,Scambio: Cyberducks ricevono Delprato; sborada ricevono Piccoli,2024-09-01,24-25
58,ZeroDayz FC prende Raspadori a 1,2024-09-01,24-25
60,Dialo porco prendo sabelli a 1,2024-09-01,24-25
62,Ac ciaccati prende Abdulhamid a 1,2024-09-01,24-25
64,La società FC SOVESCIO riceve 0 crediti per la cessione di Smalling,2024-09-22,24-25
65,La società AC CIACCATI riceve 0 crediti per il prestito di Osimhen,2024-09-22,24-25
67,Sborada acquista hummels per 4 crediti,2025-01-05,24-25
68,Ac ciaccati acquista El Futbol Anjorin per 1 credito,2025-01-06,24-25
69,Sborada riceve 7 crediti per la cessione di Martinez Quarta al River Plate,2025-01-08,24-25
70,Ac ciaccati acquista Adli per 1 credito,2025-01-08,24-25
72,Dialo Porco acquista Cataldi per 1 credito,2025-01-10,24-25
74,Sborada acquista odgaard per 3 crediti,2025-01-14,24-25
75,Sborada riceve 3 crediti per cessione di Coulibaly al Leicester,2025-01-17,24-25
5,La squadra Baby Reijnders acquista Mandas per 1 credito,2024-08-13,24-25
32,La squadra baby Reijnders riceve 12 crediti per la cessione di Chiesa al Liverpool,2024-08-29,24-25
4,La squadra Cyberducks acquista Pinsoglio per 1 credito,2024-08-13,24-25
18,La squadra Cyberducks acquista Dia per 6 crediti,2024-08-19,24-25
10,Scambio ufficiale: Metodo Monchi FC riceve Tessmann e 13 crediti; Sborada riceve Ndoye,2024-08-15,24-25
66,La società Cyberducks riceve 0 crediti per la cessione di Mitrovic in prestito,2024-09-28,24-25
1,Scambio ufficiale: Diablitos FC riceve: Miretti + Viti (prestito con dir. risc. 4); Diaolo Porco riceve: Spinazzola + Oliveira (prestito con dir. risc. 10),2024-08-25,24-25
3,"Comunicato ufficiale: la società Diablitos FC svincola Rossi (P, Atalanta) al costo di 1 credito",2024-08-23,24-25
6,La squadra Diablitos FC acquista Rossi per 1 credito,2024-08-13,24-25
20,La società FC Pontos acquista Neres per 30 crediti,2024-08-23,24-25
26,La squadra FC Pontos acquista Toriani per 1 credito,2024-08-26,24-25
29,La squadra FC Pontos Acquista Pinamonti per 30 crediti,2024-08-27,24-25
43,FC Pontos acquista Giannetti a 1,2024-08-31,24-25
45,FC Pontos acquista karlsson per 2 crediti,2024-08-31,24-25
59,FC Sovescio prende almqvist a 1,2024-09-01,24-25
71,FC Sovescio acquista leali per 1 credito,2025-01-08,24-25
22,La squadra Metodo Monchi FC acquista Sosa per 1 credito,2024-08-25,24-25
31,La squadra Metodo Monchi FC riceve 6 crediti per la cessione di Tessmann al Lione,2024-08-28,24-25
46,Scambio prestiti: CYBERDUCKS ricevono Felici (oneroso 3cr); Metodo Monchi FC riceve Cutrone (gratuito con dr 15ml),2024-08-31,24-25
51,Metodo Monchi FC acquista nicolussi per 1 credito,2024-09-01,24-25
52,Metodo Monchi FC acquista gilmour per 6 crediti,2024-09-01,24-25
61,Scambio: sborada riceve fagioli (prestito oneroso); Metodo Monchi FC riceve 3 crediti,2024-09-01,24-25
78,La società ZeroDayz FC riceve 1 credito per la cessione di Ryan al Lens,2025-01-22,24-25
82,Dialo Porco riceve 0 crediti per la cessione di Oudin in prestito alla Sampdoria,2025-01-25,24-25
86,Dialo porco riceve 0 crediti per lo svincolo di Danilo da parte della Juventus,2025-01-27,24-25
87,ZeroDayz FC riceve 0 crediti per la cessione in prestito di Altare alla Sampdoria,2025-01-28,24-25
88,Ac ciaccati svincola Dahl (Dd E; Roma) al costo di 1 credito,2025-01-30,24-25
89,Sborada riceve 1 credito per la cessione di Magnani al Palermo,2025-01-31,24-25
90,Sborada promuove dalla primavera Urbanski,2025-01-31,24-25
91,Ac ciaccati acquista kempf a 1 credito,2025-01-31,24-25
93,Dialo porco acquista pezzella per 5 crediti,2025-02-01,24-25
95,CYBERDUCKS acquistano cacace per 1 credito,2025-02-02,24-25
96,ZeroDayz FC riceve 30 crediti per la cessione di Dorgu al Manchester United,2025-02-02,24-25
97,Baby rejnders riceve 6 crediti per la cessione in prestito di Morata al Galatasaray,2025-02-02,24-25
98,Scambio prestiti 6 mesi: ac ciaccati ricevono Piccoli e tete morente; sborada riceve Paredes,2025-02-03,24-25
106,Sborada riceve 0 crediti per la cessione di Mazzitelli in prestito al Sassuolo,2025-02-04,24-25
107,ZeroDayz FC acquista Elmas per 9 crediti,2025-02-04,24-25
111,Ac ciaccati acquista Guilbert per 1 credito,2025-02-05,24-25
114,Sborada acquista nelsson per 1 credito,2025-02-05,24-25
115,Sborada acquista candè per 1 credito,2025-02-05,24-25
117,ZeroDayz FC acquista Vogliacco per 1 credito,2025-02-05,24-25
124,Diaolo Porco esercita diritto riscatto su Oliveira (10 cr),2025-06-28,24-25
130,"Riepilogo CyberDucks: Svincoli (Sanchez, Malinovsky, Benedyczak), Cessioni (Coppola, Cacace...)",2025-07-01,25-26
131,"Riepilogo AC Ciaccati: Svincoli (Marchwinsky, Kempf, Richardson)",2025-07-01,25-26
133,"Riepilogo Baby Reijnders: Svincoli (Livramento, Fadera, Shomurodov), Cessioni (Zampano, Lazovic...)",2025-07-01,25-26
134,La squadra ZeroDayz FC riceve 17 crediti per la cessione di Ruggeri all'Atletico,2025-07-01,25-26
136,"Riepilogo Diaolo Porco: Svincoli (Masina, Badelj), Promozioni (Prati)",2025-07-02,25-26
140,ZeroDayz FC riceve 1 credito per la cessione in prestito di Rafa Marin al Villareal,2025-07-06,25-26
142,Baby Reijnders acquista De Bruyne per 49 crediti,2025-07-08,25-26
143,ZeroDayz FC svincola Sergi Roberto al costo di 1 credito,2025-07-09,25-26
144,ZeroDayz FC acquista Vitik a 24 crediti,2025-07-09,25-26
148,Baby Reijnders acquista David (Juventus) per 74 crediti,2025-07-10,25-26
81,Baby Reijnders riceve 1 credito per la cessione di Kayode in prestito al Brentford,2025-01-25,24-25
83,Cyberducks svincola Gagliardini (M C; Monza) al costo di 1 credito,2025-01-25,24-25
102,Cyberducks riceve 4 crediti per la cessione di Dani Silva,2025-02-04,24-25
103,Cyberducks riceve 1 credito per la cessione in prestito di Bennacer al Marsiglia,2025-02-04,24-25
125,Diablitos FC esercita diritto riscatto su Viti (4 cr),2025-06-29,24-25
128,"Riepilogo Diablitos FC: Svincoli (Vecino, El Shaarawy), Cessioni (Rui Patricio, Musso, Calabria...)",2025-07-01,25-26
141,Scambio: Diablitos FC riceve Miranda; Baby Reijinders riceve 23 crediti,2025-07-07,25-26
80,FC Pontos riceve 2 crediti per la cessione di Djuric al Parma,2025-01-23,24-25
85,FC Pontos acquista Walker per 7 crediti,2025-01-27,24-25
109,Scambio: ZeroDayz FC riceve Dossena (prestito) e Ruggeri; Metodo Monchi FC riceve Acerbi (prestito) e 19 crediti,2025-02-04,24-25
100,FC Pontos riceve 0 crediti per la cessione di belotti in prestito al Benfica,2025-02-03,24-25
104,FC Pontos riceve 5 crediti per la cessione di Pohjanpalo al Palermo,2025-02-04,24-25
137,FC Pontos riceve 15 crediti per la cessione di Tchaouna al Barnley,2025-07-02,25-26
79,ZeroDayz FC acquista Gollini per 3 crediti dalla squadra FC Sovescio ,2025-01-23,24-25
92,Scambio: FC Sovescio riceve Pellegrini; dialo porco riceve Rovella,2025-02-01,24-25
94,FC Sovescio acquista bianco per 1 credito,2025-02-02,24-25
105,FC Sovescio riceve 0 crediti per la cessione di Audero in prestito al Palermo,2025-02-04,24-25
110,Sborada riceve in prestito per 6 mesi Dany Mota da FC Sovescio,2025-02-04,24-25
112,FC Sovescio acquista Joao Felix per 27 crediti,2025-02-05,24-25
113,FC Sovescio acquista sava per 1 credito,2025-02-05,24-25
118,FC Sovescio compra pedro pereira a 1 credito,2025-02-05,24-25
77,Metodo Monchi FC riceve 70 crediti per la cessione di Kvara al PSG,2025-01-17,24-25
84,Metodo Monchi FC acquista Kolo Muani per 23 crediti,2025-01-26,24-25
101,Metodo Monchi FC e Sborada terminano in anticipo il prestito di fagioli,2025-02-03,24-25
108,Metodo Monchi FC acquista Gimenez per 45 crediti,2025-02-04,24-25
119,Metodo Monchi FC acquista kelly per 15 crediti,2025-02-06,24-25
123,Metodo Monchi FC Promuove Scalvini dalla primavera alla prima squadra,2025-06-23,24-25
132,"Riepilogo Metodo Monchi FC: Svincoli (Gilmour, Felici, Dossena), Cessioni (Kelly, Bijol, Sosa...)",2025-07-01,25-26
99,Scambio: Metodo Monchi FC riceve Oristanio; sborada riceve Lobotka; FC Pontos riceve Beltran,2025-02-03,24-25
129,"Riepilogo ZeroDayz FC: Svincoli (Pierret, Harroui, Kouamè), Cessioni (Amrabat, Busio, Altare)",2025-07-01,25-26
150,ZeroDayz FC acquista Baturina (Como) per 33 crediti,2025-07-12,25-26
152,Diaolo Porco acquista Dzeko (Fiorentina) per 7 crediti,2025-07-14,25-26
153,AC Ciaccati riceve 3 crediti per la cessione di Paredes al Boca Juniors,2025-07-14,25-26
154,Scambio: Sborada riceve Folorunsho + 32 crediti; Diablitos FC riceve Ndoye,2025-07-15,25-26
156,FC Pontos acquista Immobile (Bologna) a 8 crediti,2025-07-18,25-26
157,Diaolo Porco acquista Kuhn (Como) a 27 crediti,2025-07-19,25-26
158,Cyberducks riceve 2 crediti per la cessione di Mihaila al Rizespor,2025-07-20,25-26
159,FC Pontos acquista Lang a 66 crediti,2025-07-20,25-26
160,Diablitos FC riceve 68 crediti per la cessione di Retegui ad Al Qaida,2025-07-21,25-26
161,Baby Reijnders acquista Harroui a 1 credito,2025-07-21,25-26
162,Baby Reijnders riceve 2 crediti per la cessione in prestito di Abraham al Besiktas,2025-07-21,25-26
163,AC Ciaccati acquista Thorsvedt a 15 crediti,2025-07-24,25-26
165,ZeroDayz FC acquista El Aynaoui a 16 crediti,2025-07-26,25-26
166,Sborada acquista Casadei a 23 crediti,2025-07-26,25-26
167,AC Ciaccati riceve 9 crediti per la cessione di Emerson Royal al Flamengo,2025-07-27,25-26
168,Diaolo Porco riceve 2 crediti per la cessione di Pezzella alla Cremonese,2025-07-28,25-26
170,ZeroDayz FC svincola Vogliacco (Genoa) per 2 crediti,2025-07-29,25-26
174,Dialo Porco svincola Oudin (Lecce) al costo di 1 credito,2025-07-31,25-26
175,Diablitos FC riceve 42 crediti per la cessione di Ndoye al Nottingham Forest,2025-07-31,25-26
176,Diablitos FC acquista Estupinian a 31 crediti,2025-07-31,25-26
177,Ac Ciaccati riceve 75 crediti dalla cessione di Osimehn,2025-07-31,25-26
178,Sborada riceve 8 crediti per la cessione di Strefezza,2025-07-31,25-26
180,Diaolo Porco acquista Ravaglia a 1 credito,2025-08-01,25-26
181,Ac ciaccati acquista Aboukhlal per 1 credito,2025-08-01,25-26
183,Sborada riceve 0 crediti per la cessione in prestito di Tavsan alla Reggiana,2025-08-02,25-26
184,Cyberducks acquista Kelly per 1 credito,2025-08-02,25-26
185,Sborada acquista Tramoni a 10 crediti,2025-08-02,25-26
186,Diablitos FC acquista Gronbaek a 26 crediti,2025-08-02,25-26
187,Diablitos FC acquista Sucic a 21 crediti,2025-08-03,25-26
188,Cyberducks acquista Pezzella per 8 crediti,2025-08-03,25-26
189,Diaolo porco acquista Caqueret per 6 crediti,2025-08-04,25-26
190,Diablitos FC riceve 5 crediti dalla cessione di Erlic al Midtiylland,2025-08-04,25-26
191,Sborada acquista Muharemovic per 12 crediti,2025-08-04,25-26
192,Sborada acquista Valentini per 3 crediti,2025-08-04,25-26
197,ZeroDayz FC riceve 22 crediti perla cessione di Raspadori all'Atletico Madrid,2025-08-11,25-26
198,Baby Reijnders acquista Atta a 12 crediti,2025-08-12,25-26
199,Baby Reijnders riceve 6 crediti per la cessione di Thauvin al Lens,2025-08-12,25-26
200,Baby Reijnders riceve 9 crediti per la cessione di Man al PSV,2025-08-12,25-26
201,Ac Ciaccati acquista Pellegrino a 1 credito,2025-08-12,25-26
202,Sovecio riceve 35 crediti per la cessione di Thiaw al Newcastle,2025-08-13,25-26
203,Diablitos FC acquista Lazaro a 1 credito,2025-08-13,25-26
204,Diablitos FC acquista Kone a 1 credito,2025-08-15,25-26
205,ZeroDayz FC acquista Dominguez per 31 crediti,2025-08-17,25-26
206,Ac ciaccati acquista Pierotti per 1 credito,2025-08-17,25-26
207,Scambio prestiti: cyberducks riceve Keita + 3 crediti; ZeroDayz FC riceve sohm,2025-08-17,25-26
208,Sborada riceve 13 crediti per la cessione di Tchatchoua ai Wolves,2025-08-19,25-26
209,Ac ciaccati svincola Abdulhamid al costo di 1 crediti,2025-08-19,25-26
210,Sborada acquista Barbieri a 1,2025-08-21,25-26
211,Diaolo porco riceve 19 crediti per la cessione di Okafor al Leeds,2025-08-21,25-26
212,Diablitos FC acquista Gutierrez a 23 crediti,2025-08-21,25-26
214,Baby Reijnders acquista Terraciano (Cremonese) a 1 credito,2025-08-22,25-26
215,FC Pontos acquista Collocolo a 1 credito,2025-08-22,25-26
