id,giro,numero,detentore_att,detentore_originale,id_giocatore_scelto,anno
738,2,,Metodo Monchi FC,Metodo Monchi FC,,2048-01-01
739,2,,Sborada,Sborada,,2048-01-01
740,2,,ZeroDayz FC,ZeroDayz FC,,2048-01-01
741,3,,AC Ciaccati,AC Ciaccati,,2048-01-01
743,3,,CyberDucks,CyberDucks,,2048-01-01
744,3,,Diablitos FC,Diablitos FC,,2048-01-01
745,3,,Diaolo Porco,Diaolo Porco,,2048-01-01
746,3,,FC Pontos,FC Pontos,,2048-01-01
747,3,,FC Sovescio,FC Sovescio,,2048-01-01
748,3,,Metodo Monchi FC,Metodo Monchi FC,,2048-01-01
749,3,,Sborada,Sborada,,2048-01-01
750,3,,ZeroDayz FC,ZeroDayz FC,,2048-01-01
751,1,,AC Ciaccati,AC Ciaccati,,2049-01-01
753,1,,CyberDucks,CyberDucks,,2049-01-01
754,1,,Diablitos FC,Diablitos FC,,2049-01-01
755,1,,Diaolo Porco,Diaolo Porco,,2049-01-01
756,1,,FC Pontos,FC Pontos,,2049-01-01
757,1,,FC Sovescio,FC Sovescio,,2049-01-01
758,1,,Metodo Monchi FC,Metodo Monchi FC,,2049-01-01
759,1,,Sborada,Sborada,,2049-01-01
760,1,,ZeroDayz FC,ZeroDayz FC,,2049-01-01
761,2,,AC Ciaccati,AC Ciaccati,,2049-01-01
763,2,,CyberDucks,CyberDucks,,2049-01-01
764,2,,Diablitos FC,Diablitos FC,,2049-01-01
765,2,,Diaolo Porco,Diaolo Porco,,2049-01-01
766,2,,FC Pontos,FC Pontos,,2049-01-01
767,2,,FC Sovescio,FC Sovescio,,2049-01-01
768,2,,Metodo Monchi FC,Metodo Monchi FC,,2049-01-01
769,2,,Sborada,Sborada,,2049-01-01
770,2,,ZeroDayz FC,ZeroDayz FC,,2049-01-01
771,3,,AC Ciaccati,AC Ciaccati,,2049-01-01
773,3,,CyberDucks,CyberDucks,,2049-01-01
774,3,,Diablitos FC,Diablitos FC,,2049-01-01
775,3,,Diaolo Porco,Diaolo Porco,,2049-01-01
776,3,,FC Pontos,FC Pontos,,2049-01-01
777,3,,FC Sovescio,FC Sovescio,,2049-01-01
778,3,,Metodo Monchi FC,Metodo Monchi FC,,2049-01-01
779,3,,Sborada,Sborada,,2049-01-01
780,3,,ZeroDayz FC,ZeroDayz FC,,2049-01-01
781,1,,AC Ciaccati,AC Ciaccati,,2050-01-01
783,1,,CyberDucks,CyberDucks,,2050-01-01
784,1,,Diablitos FC,Diablitos FC,,2050-01-01
785,1,,Diaolo Porco,Diaolo Porco,,2050-01-01
786,1,,FC Pontos,FC Pontos,,2050-01-01
787,1,,FC Sovescio,FC Sovescio,,2050-01-01
788,1,,Metodo Monchi FC,Metodo Monchi FC,,2050-01-01
789,1,,Sborada,Sborada,,2050-01-01
790,1,,ZeroDayz FC,ZeroDayz FC,,2050-01-01
791,2,,AC Ciaccati,AC Ciaccati,,2050-01-01
793,2,,CyberDucks,CyberDucks,,2050-01-01
794,2,,Diablitos FC,Diablitos FC,,2050-01-01
795,2,,Diaolo Porco,Diaolo Porco,,2050-01-01
796,2,,FC Pontos,FC Pontos,,2050-01-01
797,2,,FC Sovescio,FC Sovescio,,2050-01-01
798,2,,Metodo Monchi FC,Metodo Monchi FC,,2050-01-01
799,2,,Sborada,Sborada,,2050-01-01
800,2,,ZeroDayz FC,ZeroDayz FC,,2050-01-01
801,3,,AC Ciaccati,AC Ciaccati,,2050-01-01
803,3,,CyberDucks,CyberDucks,,2050-01-01
804,3,,Diablitos FC,Diablitos FC,,2050-01-01
805,3,,Diaolo Porco,Diaolo Porco,,2050-01-01
806,3,,FC Pontos,FC Pontos,,2050-01-01
807,3,,FC Sovescio,FC Sovescio,,2050-01-01
808,3,,Metodo Monchi FC,Metodo Monchi FC,,2050-01-01
809,3,,Sborada,Sborada,,2050-01-01
810,3,,ZeroDayz FC,ZeroDayz FC,,2050-01-01
811,1,,AC Ciaccati,AC Ciaccati,,2051-01-01
813,1,,CyberDucks,CyberDucks,,2051-01-01
814,1,,Diablitos FC,Diablitos FC,,2051-01-01
815,1,,Diaolo Porco,Diaolo Porco,,2051-01-01
816,1,,FC Pontos,FC Pontos,,2051-01-01
817,1,,FC Sovescio,FC Sovescio,,2051-01-01
818,1,,Metodo Monchi FC,Metodo Monchi FC,,2051-01-01
819,1,,Sborada,Sborada,,2051-01-01
820,1,,ZeroDayz FC,ZeroDayz FC,,2051-01-01
821,2,,AC Ciaccati,AC Ciaccati,,2051-01-01
823,2,,CyberDucks,CyberDucks,,2051-01-01
824,2,,Diablitos FC,Diablitos FC,,2051-01-01
825,2,,Diaolo Porco,Diaolo Porco,,2051-01-01
826,2,,FC Pontos,FC Pontos,,2051-01-01
827,2,,FC Sovescio,FC Sovescio,,2051-01-01
828,2,,Metodo Monchi FC,Metodo Monchi FC,,2051-01-01
829,2,,Sborada,Sborada,,2051-01-01
830,2,,ZeroDayz FC,ZeroDayz FC,,2051-01-01
831,3,,AC Ciaccati,AC Ciaccati,,2051-01-01
833,3,,CyberDucks,CyberDucks,,2051-01-01
834,3,,Diablitos FC,Diablitos FC,,2051-01-01
835,3,,Diaolo Porco,Diaolo Porco,,2051-01-01
836,3,,FC Pontos,FC Pontos,,2051-01-01
837,3,,FC Sovescio,FC Sovescio,,2051-01-01
838,3,,Metodo Monchi FC,Metodo Monchi FC,,2051-01-01
839,3,,Sborada,Sborada,,2051-01-01
840,3,,ZeroDayz FC,ZeroDayz FC,,2051-01-01
841,1,,AC Ciaccati,AC Ciaccati,,2052-01-01
843,1,,CyberDucks,CyberDucks,,2052-01-01
844,1,,Diablitos FC,Diablitos FC,,2052-01-01
845,1,,Diaolo Porco,Diaolo Porco,,2052-01-01
846,1,,FC Pontos,FC Pontos,,2052-01-01
847,1,,FC Sovescio,FC Sovescio,,2052-01-01
848,1,,Metodo Monchi FC,Metodo Monchi FC,,2052-01-01
849,1,,Sborada,Sborada,,2052-01-01
850,1,,ZeroDayz FC,ZeroDayz FC,,2052-01-01
851,2,,AC Ciaccati,AC Ciaccati,,2052-01-01
853,2,,CyberDucks,CyberDucks,,2052-01-01
854,2,,Diablitos FC,Diablitos FC,,2052-01-01
855,2,,Diaolo Porco,Diaolo Porco,,2052-01-01
856,2,,FC Pontos,FC Pontos,,2052-01-01
857,2,,FC Sovescio,FC Sovescio,,2052-01-01
858,2,,Metodo Monchi FC,Metodo Monchi FC,,2052-01-01
859,2,,Sborada,Sborada,,2052-01-01
860,2,,ZeroDayz FC,ZeroDayz FC,,2052-01-01
861,3,,AC Ciaccati,AC Ciaccati,,2052-01-01
863,3,,CyberDucks,CyberDucks,,2052-01-01
864,3,,Diablitos FC,Diablitos FC,,2052-01-01
865,3,,Diaolo Porco,Diaolo Porco,,2052-01-01
866,3,,FC Pontos,FC Pontos,,2052-01-01
867,3,,FC Sovescio,FC Sovescio,,2052-01-01
868,3,,Metodo Monchi FC,Metodo Monchi FC,,2052-01-01
869,3,,Sborada,Sborada,,2052-01-01
870,3,,ZeroDayz FC,ZeroDayz FC,,2052-01-01
871,1,,AC Ciaccati,AC Ciaccati,,2053-01-01
873,1,,CyberDucks,CyberDucks,,2053-01-01
874,1,,Diablitos FC,Diablitos FC,,2053-01-01
875,1,,Diaolo Porco,Diaolo Porco,,2053-01-01
876,1,,FC Pontos,FC Pontos,,2053-01-01
877,1,,FC Sovescio,FC Sovescio,,2053-01-01
878,1,,Metodo Monchi FC,Metodo Monchi FC,,2053-01-01
879,1,,Sborada,Sborada,,2053-01-01
880,1,,ZeroDayz FC,ZeroDayz FC,,2053-01-01
881,2,,AC Ciaccati,AC Ciaccati,,2053-01-01
883,2,,CyberDucks,CyberDucks,,2053-01-01
884,2,,Diablitos FC,Diablitos FC,,2053-01-01
885,2,,Diaolo Porco,Diaolo Porco,,2053-01-01
886,2,,FC Pontos,FC Pontos,,2053-01-01
887,2,,FC Sovescio,FC Sovescio,,2053-01-01
888,2,,Metodo Monchi FC,Metodo Monchi FC,,2053-01-01
889,2,,Sborada,Sborada,,2053-01-01
890,2,,ZeroDayz FC,ZeroDayz FC,,2053-01-01
891,3,,AC Ciaccati,AC Ciaccati,,2053-01-01
893,3,,CyberDucks,CyberDucks,,2053-01-01
894,3,,Diablitos FC,Diablitos FC,,2053-01-01
895,3,,Diaolo Porco,Diaolo Porco,,2053-01-01
896,3,,FC Pontos,FC Pontos,,2053-01-01
897,3,,FC Sovescio,FC Sovescio,,2053-01-01
898,3,,Metodo Monchi FC,Metodo Monchi FC,,2053-01-01
899,3,,Sborada,Sborada,,2053-01-01
900,3,,ZeroDayz FC,ZeroDayz FC,,2053-01-01
901,1,,AC Ciaccati,AC Ciaccati,,2054-01-01
903,1,,CyberDucks,CyberDucks,,2054-01-01
904,1,,Diablitos FC,Diablitos FC,,2054-01-01
905,1,,Diaolo Porco,Diaolo Porco,,2054-01-01
906,1,,FC Pontos,FC Pontos,,2054-01-01
907,1,,FC Sovescio,FC Sovescio,,2054-01-01
908,1,,Metodo Monchi FC,Metodo Monchi FC,,2054-01-01
909,1,,Sborada,Sborada,,2054-01-01
910,1,,ZeroDayz FC,ZeroDayz FC,,2054-01-01
911,2,,AC Ciaccati,AC Ciaccati,,2054-01-01
913,2,,CyberDucks,CyberDucks,,2054-01-01
914,2,,Diablitos FC,Diablitos FC,,2054-01-01
915,2,,Diaolo Porco,Diaolo Porco,,2054-01-01
916,2,,FC Pontos,FC Pontos,,2054-01-01
917,2,,FC Sovescio,FC Sovescio,,2054-01-01
918,2,,Metodo Monchi FC,Metodo Monchi FC,,2054-01-01
919,2,,Sborada,Sborada,,2054-01-01
920,2,,ZeroDayz FC,ZeroDayz FC,,2054-01-01
921,3,,AC Ciaccati,AC Ciaccati,,2054-01-01
923,3,,CyberDucks,CyberDucks,,2054-01-01
924,3,,Diablitos FC,Diablitos FC,,2054-01-01
925,3,,Diaolo Porco,Diaolo Porco,,2054-01-01
926,3,,FC Pontos,FC Pontos,,2054-01-01
927,3,,FC Sovescio,FC Sovescio,,2054-01-01
928,3,,Metodo Monchi FC,Metodo Monchi FC,,2054-01-01
929,3,,Sborada,Sborada,,2054-01-01
930,3,,ZeroDayz FC,ZeroDayz FC,,2054-01-01
931,1,,AC Ciaccati,AC Ciaccati,,2055-01-01
933,1,,CyberDucks,CyberDucks,,2055-01-01
934,1,,Diablitos FC,Diablitos FC,,2055-01-01
935,1,,Diaolo Porco,Diaolo Porco,,2055-01-01
936,1,,FC Pontos,FC Pontos,,2055-01-01
937,1,,FC Sovescio,FC Sovescio,,2055-01-01
938,1,,Metodo Monchi FC,Metodo Monchi FC,,2055-01-01
939,1,,Sborada,Sborada,,2055-01-01
940,1,,ZeroDayz FC,ZeroDayz FC,,2055-01-01
941,2,,AC Ciaccati,AC Ciaccati,,2055-01-01
943,2,,CyberDucks,CyberDucks,,2055-01-01
944,2,,Diablitos FC,Diablitos FC,,2055-01-01
945,2,,Diaolo Porco,Diaolo Porco,,2055-01-01
946,2,,FC Pontos,FC Pontos,,2055-01-01
947,2,,FC Sovescio,FC Sovescio,,2055-01-01
948,2,,Metodo Monchi FC,Metodo Monchi FC,,2055-01-01
949,2,,Sborada,Sborada,,2055-01-01
950,2,,ZeroDayz FC,ZeroDayz FC,,2055-01-01
951,3,,AC Ciaccati,AC Ciaccati,,2055-01-01
953,3,,CyberDucks,CyberDucks,,2055-01-01
954,3,,Diablitos FC,Diablitos FC,,2055-01-01
955,3,,Diaolo Porco,Diaolo Porco,,2055-01-01
956,3,,FC Pontos,FC Pontos,,2055-01-01
957,3,,FC Sovescio,FC Sovescio,,2055-01-01
958,3,,Metodo Monchi FC,Metodo Monchi FC,,2055-01-01
959,3,,Sborada,Sborada,,2055-01-01
960,3,,ZeroDayz FC,ZeroDayz FC,,2055-01-01
961,1,,AC Ciaccati,AC Ciaccati,,2056-01-01
963,1,,CyberDucks,CyberDucks,,2056-01-01
964,1,,Diablitos FC,Diablitos FC,,2056-01-01
965,1,,Diaolo Porco,Diaolo Porco,,2056-01-01
966,1,,FC Pontos,FC Pontos,,2056-01-01
967,1,,FC Sovescio,FC Sovescio,,2056-01-01
968,1,,Metodo Monchi FC,Metodo Monchi FC,,2056-01-01
969,1,,Sborada,Sborada,,2056-01-01
970,1,,ZeroDayz FC,ZeroDayz FC,,2056-01-01
971,2,,AC Ciaccati,AC Ciaccati,,2056-01-01
973,2,,CyberDucks,CyberDucks,,2056-01-01
974,2,,Diablitos FC,Diablitos FC,,2056-01-01
975,2,,Diaolo Porco,Diaolo Porco,,2056-01-01
976,2,,FC Pontos,FC Pontos,,2056-01-01
977,2,,FC Sovescio,FC Sovescio,,2056-01-01
978,2,,Metodo Monchi FC,Metodo Monchi FC,,2056-01-01
979,2,,Sborada,Sborada,,2056-01-01
980,2,,ZeroDayz FC,ZeroDayz FC,,2056-01-01
981,3,,AC Ciaccati,AC Ciaccati,,2056-01-01
983,3,,CyberDucks,CyberDucks,,2056-01-01
984,3,,Diablitos FC,Diablitos FC,,2056-01-01
985,3,,Diaolo Porco,Diaolo Porco,,2056-01-01
986,3,,FC Pontos,FC Pontos,,2056-01-01
987,3,,FC Sovescio,FC Sovescio,,2056-01-01
988,3,,Metodo Monchi FC,Metodo Monchi FC,,2056-01-01
989,3,,Sborada,Sborada,,2056-01-01
990,3,,ZeroDayz FC,ZeroDayz FC,,2056-01-01
2,1,2.0,Al-Colizzati,Al-Colizzati,820.0,2024-01-01
19,2,19.0,Al-Colizzati,Al-Colizzati,100.0,2024-01-01
22,3,22.0,Al-Colizzati,Al-Colizzati,483.0,2024-01-01
39,1,9.0,Al-Colizzati,Al-Colizzati,408.0,2025-01-01
49,2,19.0,Al-Colizzati,Al-Colizzati,273.0,2025-01-01
59,3,29.0,Al-Colizzati,Al-Colizzati,113.0,2025-01-01
92,1,,Al-Colizzati,Al-Colizzati,,2027-01-01
102,2,,Al-Colizzati,Al-Colizzati,,2027-01-01
112,3,,Al-Colizzati,Al-Colizzati,,2027-01-01
122,1,,Al-Colizzati,Al-Colizzati,,2028-01-01
132,2,,Al-Colizzati,Al-Colizzati,,2028-01-01
142,3,,Al-Colizzati,Al-Colizzati,,2028-01-01
152,1,,Al-Colizzati,Al-Colizzati,,2029-01-01
162,2,,Al-Colizzati,Al-Colizzati,,2029-01-01
172,3,,Al-Colizzati,Al-Colizzati,,2029-01-01
182,1,,Al-Colizzati,Al-Colizzati,,2030-01-01
192,2,,Al-Colizzati,Al-Colizzati,,2030-01-01
202,3,,Al-Colizzati,Al-Colizzati,,2030-01-01
212,1,,Al-Colizzati,Al-Colizzati,,2031-01-01
222,2,,Al-Colizzati,Al-Colizzati,,2031-01-01
232,3,,Al-Colizzati,Al-Colizzati,,2031-01-01
242,1,,Al-Colizzati,Al-Colizzati,,2032-01-01
252,2,,Al-Colizzati,Al-Colizzati,,2032-01-01
262,3,,Al-Colizzati,Al-Colizzati,,2032-01-01
272,1,,Al-Colizzati,Al-Colizzati,,2033-01-01
282,2,,Al-Colizzati,Al-Colizzati,,2033-01-01
292,3,,Al-Colizzati,Al-Colizzati,,2033-01-01
302,1,,Al-Colizzati,Al-Colizzati,,2034-01-01
312,2,,Al-Colizzati,Al-Colizzati,,2034-01-01
322,3,,Al-Colizzati,Al-Colizzati,,2034-01-01
332,1,,Al-Colizzati,Al-Colizzati,,2035-01-01
342,2,,Al-Colizzati,Al-Colizzati,,2035-01-01
352,3,,Al-Colizzati,Al-Colizzati,,2035-01-01
362,1,,Al-Colizzati,Al-Colizzati,,2036-01-01
372,2,,Al-Colizzati,Al-Colizzati,,2036-01-01
382,3,,Al-Colizzati,Al-Colizzati,,2036-01-01
392,1,,Al-Colizzati,Al-Colizzati,,2037-01-01
402,2,,Al-Colizzati,Al-Colizzati,,2037-01-01
412,3,,Al-Colizzati,Al-Colizzati,,2037-01-01
422,1,,Al-Colizzati,Al-Colizzati,,2038-01-01
432,2,,Al-Colizzati,Al-Colizzati,,2038-01-01
442,3,,Al-Colizzati,Al-Colizzati,,2038-01-01
452,1,,Al-Colizzati,Al-Colizzati,,2039-01-01
462,2,,Al-Colizzati,Al-Colizzati,,2039-01-01
472,3,,Al-Colizzati,Al-Colizzati,,2039-01-01
482,1,,Al-Colizzati,Al-Colizzati,,2040-01-01
492,2,,Al-Colizzati,Al-Colizzati,,2040-01-01
502,3,,Al-Colizzati,Al-Colizzati,,2040-01-01
512,1,,Al-Colizzati,Al-Colizzati,,2041-01-01
522,2,,Al-Colizzati,Al-Colizzati,,2041-01-01
532,3,,Al-Colizzati,Al-Colizzati,,2041-01-01
542,1,,Al-Colizzati,Al-Colizzati,,2042-01-01
552,2,,Al-Colizzati,Al-Colizzati,,2042-01-01
562,3,,Al-Colizzati,Al-Colizzati,,2042-01-01
572,1,,Al-Colizzati,Al-Colizzati,,2043-01-01
582,2,,Al-Colizzati,Al-Colizzati,,2043-01-01
592,3,,Al-Colizzati,Al-Colizzati,,2043-01-01
602,1,,Al-Colizzati,Al-Colizzati,,2044-01-01
612,2,,Al-Colizzati,Al-Colizzati,,2044-01-01
622,3,,Al-Colizzati,Al-Colizzati,,2044-01-01
632,1,,Al-Colizzati,Al-Colizzati,,2045-01-01
642,2,,Al-Colizzati,Al-Colizzati,,2045-01-01
652,3,,Al-Colizzati,Al-Colizzati,,2045-01-01
662,1,,Al-Colizzati,Al-Colizzati,,2046-01-01
672,2,,Al-Colizzati,Al-Colizzati,,2046-01-01
682,3,,Al-Colizzati,Al-Colizzati,,2046-01-01
692,1,,Al-Colizzati,Al-Colizzati,,2047-01-01
702,2,,Al-Colizzati,Al-Colizzati,,2047-01-01
712,3,,Al-Colizzati,Al-Colizzati,,2047-01-01
722,1,,Al-Colizzati,Al-Colizzati,,2048-01-01
732,2,,Al-Colizzati,Al-Colizzati,,2048-01-01
742,3,,Al-Colizzati,Al-Colizzati,,2048-01-01
62,1,2.0,Al-Colizzati,Al-Colizzati,,2026-01-01
72,2,12.0,Al-Colizzati,Al-Colizzati,,2026-01-01
82,3,22.0,Al-Colizzati,Al-Colizzati,,2026-01-01
752,1,,Al-Colizzati,Al-Colizzati,,2049-01-01
762,2,,Al-Colizzati,Al-Colizzati,,2049-01-01
772,3,,Al-Colizzati,Al-Colizzati,,2049-01-01
782,1,,Al-Colizzati,Al-Colizzati,,2050-01-01
792,2,,Al-Colizzati,Al-Colizzati,,2050-01-01
802,3,,Al-Colizzati,Al-Colizzati,,2050-01-01
812,1,,Al-Colizzati,Al-Colizzati,,2051-01-01
822,2,,Al-Colizzati,Al-Colizzati,,2051-01-01
832,3,,Al-Colizzati,Al-Colizzati,,2051-01-01
842,1,,Al-Colizzati,Al-Colizzati,,2052-01-01
852,2,,Al-Colizzati,Al-Colizzati,,2052-01-01
862,3,,Al-Colizzati,Al-Colizzati,,2052-01-01
872,1,,Al-Colizzati,Al-Colizzati,,2053-01-01
882,2,,Al-Colizzati,Al-Colizzati,,2053-01-01
892,3,,Al-Colizzati,Al-Colizzati,,2053-01-01
902,1,,Al-Colizzati,Al-Colizzati,,2054-01-01
912,2,,Al-Colizzati,Al-Colizzati,,2054-01-01
922,3,,Al-Colizzati,Al-Colizzati,,2054-01-01
932,1,,Al-Colizzati,Al-Colizzati,,2055-01-01
942,2,,Al-Colizzati,Al-Colizzati,,2055-01-01
952,3,,Al-Colizzati,Al-Colizzati,,2055-01-01
962,1,,Al-Colizzati,Al-Colizzati,,2056-01-01
972,2,,Al-Colizzati,Al-Colizzati,,2056-01-01
982,3,,Al-Colizzati,Al-Colizzati,,2056-01-01
68,1,10.0,Metodo Monchi FC,Metodo Monchi FC,,2026-01-01
78,2,20.0,Metodo Monchi FC,Metodo Monchi FC,,2026-01-01
88,3,30.0,Metodo Monchi FC,Metodo Monchi FC,,2026-01-01
